Price,Adj Close,Close,High,Low,Open,Volume
2018-08-09,0.1082329974,0.1082329974,0.1113469973,0.1024760008,0.1026140004,5810310
2018-08-10,0.09904800355,0.09904800355,0.1091729999,0.09738399833,0.108393997,4971790
2018-08-11,0.08502600342,0.08502600342,0.09864600003,0.08092000335,0.09860900044,5461500
2018-08-12,0.08347100019,0.08347100019,0.08717499673,0.08321300149,0.08553999662,3977540
2018-08-13,0.07422400266,0.07422400266,0.08671800047,0.07414700091,0.08365999907,3485000
2018-08-14,0.06605599821,0.06605599821,0.07422100008,0.05986399949,0.07421199977,2762810
2018-08-15,0.06548999995,0.06548999995,0.07113199681,0.06420399994,0.06666599959,1546550
2018-08-16,0.06690900028,0.06690900028,0.07080200315,0.06430400163,0.06605800241,1789560
2018-08-17,0.09324300289,0.09324300289,0.09324300289,0.06651800126,0.06679599732,4771740
2018-08-18,0.0762019977,0.0762019977,0.09295900166,0.07315099984,0.09289199859,4679890
2018-08-19,0.08382900059,0.08382900059,0.08597200364,0.07477000356,0.07654199749,2751920
2018-08-20,0.07317300141,0.07317300141,0.08640699834,0.07292900234,0.0840800032,2035250
2018-08-21,0.07575000077,0.07575000077,0.0773120001,0.07299300283,0.07299300283,985220
2018-08-22,0.06989800185,0.06989800185,0.08087799698,0.06982400268,0.07587700337,1572040
2018-08-23,0.08287099749,0.08287099749,0.08963900059,0.06925500184,0.06925500184,5606580
2018-08-24,0.1084870026,0.1084870026,0.1140749976,0.08118499815,0.08336299658,21423200
2018-08-25,0.1049769968,0.1049769968,0.1107280031,0.1025820002,0.1085169986,2845540
2018-08-26,0.09672100097,0.09672100097,0.1044910029,0.09512399882,0.1044910029,2712600
2018-08-27,0.1012630016,0.1012630016,0.1034910008,0.09482999891,0.09682899714,2859670
2018-08-28,0.1055549979,0.1055549979,0.1072390005,0.1000560001,0.1015139967,3260650
2018-08-29,0.1030550003,0.1030550003,0.1074720025,0.09961300343,0.1055879965,2578550
2018-08-30,0.1019309983,0.1019309983,0.1044460014,0.09606199712,0.1031090021,1963860
2018-08-31,0.1005840003,0.1005840003,0.1033629999,0.09910400212,0.1016599983,1795060
2018-09-01,0.1064099967,0.1064099967,0.1071309969,0.1005360037,0.1011049971,3554600
2018-09-02,0.1044540033,0.1044540033,0.1086649969,0.1024110019,0.1062939987,2752500
2018-09-03,0.107607998,0.107607998,0.1119910032,0.103050001,0.1047820002,4279250
2018-09-04,0.1113639995,0.1113639995,0.1162720025,0.1062280014,0.1071190014,6907780
2018-09-05,0.09102900326,0.09102900326,0.1126570031,0.09102900326,0.1108340025,5739420
2018-09-06,0.09564000368,0.09564000368,0.0960649997,0.08574099839,0.08983500302,3770850
2018-09-07,0.09241700172,0.09241700172,0.09732700139,0.08830499649,0.09529899806,3273710
2018-09-08,0.08714699745,0.08714699745,0.09508900344,0.08610899746,0.09314599633,3266880
2018-09-09,0.08521299809,0.08521299809,0.08899900317,0.08318399638,0.08685799688,2303710
2018-09-10,0.08655700088,0.08655700088,0.08758399636,0.08392699808,0.08521199971,1489510
2018-09-11,0.08305100352,0.08305100352,0.08804500103,0.08074899763,0.08726099879,1526770
2018-09-12,0.08189799637,0.08189799637,0.08325199783,0.07537800074,0.08319400251,1507510
2018-09-13,0.08741399646,0.08741399646,0.08973400295,0.08132600039,0.08166699857,1927750
2018-09-14,0.08727400005,0.08727400005,0.08988200128,0.08113300055,0.0873510018,2121140
2018-09-15,0.08473999798,0.08473999798,0.09250000119,0.08161699772,0.08305899799,1427940
2018-09-16,0.08703300357,0.08703300357,0.09128499776,0.08066499978,0.0847299993,1570920
2018-09-17,0.08484400064,0.08484400064,0.08983699977,0.07996200025,0.08763100207,3610190
2018-09-18,0.08357200027,0.08357200027,0.0866779983,0.08019600064,0.08432800323,3291510
2018-09-19,0.09000500292,0.09000500292,0.09018799663,0.08281199634,0.08343599737,3474490
2018-09-20,0.08842799813,0.08842799813,0.09001799673,0.08367200196,0.08935300261,2883910
2018-09-21,0.09267599881,0.09267599881,0.09339799732,0.08709099889,0.08794599771,4156430
2018-09-22,0.09099099785,0.09099099785,0.09365399927,0.08641000092,0.09312099963,2470820
2018-09-23,0.09244599938,0.09244599938,0.09687600285,0.0871990025,0.0903159976,2103240
2018-09-24,0.08780899644,0.08780899644,0.09503400326,0.08493699878,0.09292899817,1839520
2018-09-25,0.08563999832,0.08563999832,0.08889400214,0.08192099631,0.08778700233,1992480
2018-09-26,0.08571799845,0.08571799845,0.09019300342,0.08202899992,0.0865899995,1877340
2018-09-27,0.08743900061,0.08743900061,0.1021519974,0.08125700057,0.0856700018,1054470
2018-09-28,0.09386900067,0.09386900067,0.1027320027,0.08363299817,0.08748000115,2066100
2018-09-29,0.08751600236,0.08751600236,0.09708599746,0.08462899923,0.09540999681,4315980
2018-09-30,0.09337799996,0.09337799996,0.09675999731,0.08606699854,0.08757600188,4194300
2018-10-01,0.09081800282,0.09081800282,0.09696999937,0.08766499907,0.09409599751,3081620
2018-10-02,0.09514500201,0.09514500201,0.09810700268,0.09051200002,0.09062000364,3869540
2018-10-03,0.0914689973,0.0914689973,0.09791500121,0.08736599982,0.0952180028,2359440
2018-10-04,0.0992269963,0.0992269963,0.0992269963,0.09026499838,0.09110700339,3778740
2018-10-05,0.09854900092,0.09854900092,0.1029139981,0.09456600249,0.09952799976,3873210
2018-10-06,0.0994810015,0.0994810015,0.1003199965,0.09212400019,0.09892000258,2039840
2018-10-07,0.1006190032,0.1006190032,0.1009870023,0.09695699811,0.09860800207,2245010
2018-10-08,0.09860099852,0.09860099852,0.101383999,0.09633199871,0.1005479991,2826650
2018-10-09,0.1000510007,0.1000510007,0.1009069979,0.09502399713,0.09875500202,1657670
2018-10-10,0.09923300147,0.09923300147,0.1000899971,0.09455999732,0.09996599704,2165460
2018-10-11,0.0808070004,0.0808070004,0.09887900203,0.0808070004,0.09887900203,2236190
2018-10-12,0.08596800268,0.08596800268,0.08675000072,0.0803790018,0.08066000044,1061840
2018-10-13,0.08640299737,0.08640299737,0.0891110003,0.0829949975,0.08488900214,1279940
2018-10-14,0.09010600299,0.09010600299,0.09255000204,0.08460699767,0.08534900099,2313540
2018-10-15,0.09078399837,0.09078399837,0.09503799677,0.08698700368,0.09049800038,4556870
2018-10-16,0.09043899924,0.09043899924,0.09280599654,0.08949799836,0.0906670019,1244890
2018-10-17,0.09000500292,0.09000500292,0.09308700264,0.08962500095,0.09071200341,1289920
2018-10-18,0.08699499816,0.08699499816,0.09050299972,0.08632600307,0.09026300162,1116630
2018-10-19,0.08677300066,0.08677300066,0.08806599677,0.08575300127,0.08679699898,619266
2018-10-20,0.08883400261,0.08883400261,0.08895800263,0.08636700362,0.08681300282,458485
